# Simulation 1 (Up to date)
# 685 data points written for 23 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.8 m/s):  "Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),CP location (cm),CG location (cm),Thrust (N),Thrust-to-weight ratio (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.628,32.329,568.329,34.059,37.265,17.86,8.917,1.108e-4,8.917,89.999,15.121,9.074,17.407,78.477,3.197,1.645e-5,5.788,0.012,135.573,19.018,14.405,4.434,3.343
1.63,32.418,568.418,34.106,37.317,17.854,8.956,1.118e-4,8.956,89.999,15.145,9.097,17.407,78.477,3.178,1.645e-5,9.776,0.012,135.559,19.02,14.404,4.435,3.344
1.633,32.508,568.508,34.153,37.37,17.841,8.996,1.127e-4,8.996,89.999,15.169,9.138,17.407,78.477,3.149,1.642e-5,13.761,0.014,135.545,19.022,14.403,4.436,3.346
1.636,32.598,568.598,34.2,37.422,17.822,9.036,1.136e-4,9.036,89.999,15.193,9.196,17.407,78.477,3.109,1.646e-5,17.741,0.012,135.53,19.026,14.402,4.438,3.347
1.638,32.689,568.689,34.247,37.476,17.794,9.076,1.145e-4,9.076,89.999,15.217,9.272,17.407,78.477,3.059,1.66e-5,21.718,0.013,135.516,19.03,14.401,4.439,3.348
1.641,32.782,568.782,34.295,37.53,17.759,9.118,1.154e-4,9.118,89.999,15.243,9.367,17.407,78.477,2.997,1.662e-5,25.682,0.01,135.501,19.035,14.4,4.44,3.35
1.644,32.876,568.876,34.344,37.585,17.716,9.16,1.162e-4,9.16,89.999,15.269,9.482,17.407,78.477,2.924,1.664e-5,29.64,0.008,135.487,19.042,14.399,4.442,3.351
1.647,32.973,568.973,34.394,37.642,17.664,9.203,1.17e-4,9.203,89.999,15.295,9.617,17.407,78.477,2.839,1.664e-5,33.589,0.011,135.471,19.049,14.398,4.443,3.353
1.65,33.072,569.072,34.445,37.699,17.603,9.247,1.178e-4,9.247,89.999,15.323,9.773,17.407,78.477,2.74,1.677e-5,37.526,0.012,135.456,19.058,14.397,4.445,3.354
1.653,33.175,569.175,34.497,37.759,17.532,9.293,1.185e-4,9.293,89.999,15.353,9.952,17.407,78.477,2.629,1.674e-5,41.449,0.012,135.44,19.067,14.396,4.446,3.356
1.656,33.296,569.296,34.558,37.829,17.438,9.346,1.194e-4,9.346,89.999,15.388,10.183,17.407,78.477,2.486,1.687e-5,45.826,0.011,135.421,19.08,14.395,4.448,3.357
1.659,33.409,569.409,34.615,37.895,17.328,9.397,1.201e-4,9.397,89.999,15.422,10.415,17.407,78.477,2.339,1.687e-5,49.716,0.011,135.403,19.093,14.394,4.448,3.358
1.663,33.529,569.529,34.675,37.965,17.201,9.45,1.209e-4,9.45,89.999,15.458,10.681,17.407,78.477,2.172,1.683e-5,53.585,0.01,135.384,19.108,14.393,4.448,3.358
1.666,33.659,569.659,34.739,38.04,17.053,9.508,1.217e-4,9.508,89.999,15.499,10.987,17.407,78.477,1.979,1.682e-5,57.413,0.007,135.364,19.125,14.392,4.448,3.359
1.671,33.801,569.801,34.808,38.122,16.877,9.571,1.224e-4,9.571,89.999,15.544,11.344,17.407,78.477,1.754,1.701e-5,61.184,0.006,135.342,19.145,14.39,4.448,3.359
1.675,33.961,569.961,34.886,38.214,16.664,9.643,1.233e-4,9.643,89.999,15.598,11.769,17.407,78.477,1.487,1.685e-5,64.881,0.008,135.316,19.17,14.389,4.448,3.36
1.681,34.151,570.151,34.975,38.322,16.392,9.728,1.242e-4,9.728,89.999,15.663,12.294,17.407,78.477,1.155,1.671e-5,68.435,0.005,135.287,19.201,14.387,4.448,3.361
1.688,34.397,570.397,35.089,38.462,16.015,9.838,1.253e-4,9.838,89.999,15.752,12.994,17.407,78.477,0.71,1.696e-5,71.653,-0.002,135.249,19.243,14.384,4.448,3.362
1.698,34.766,570.766,35.254,38.671,15.409,10.004,1.27e-4,10.004,89.999,15.894,14.055,17.407,78.477,0.029,1.708e-5,73.443,-0.211,135.191,19.309,14.381,4.448,3.363
1.714,35.324,571.324,35.49,38.982,14.445,10.257,1.297e-4,10.257,89.999,16.128,15.601,17.407,78.477,0.958,2.168e-5,-69.195,-0.024,135.106,19.22,14.375,4.448,3.365
1.722,35.596,571.596,35.598,39.132,13.982,10.381,1.312e-4,10.381,89.999,16.25,16.288,17.407,78.477,1.385,2.282e-5,-64.294,-0.014,135.064,19.18,14.372,4.448,3.366
1.727,35.785,571.785,35.672,39.235,13.676,10.467,1.324e-4,10.467,89.999,16.337,16.726,17.407,78.477,1.652,2.321e-5,-59.896,-0.012,135.035,19.156,14.371,4.448,3.367
1.731,35.944,571.944,35.732,39.321,13.435,10.54,1.335e-4,10.54,89.999,16.412,17.061,17.407,78.477,1.853,2.335e-5,-55.639,-0.011,135.011,19.138,14.369,4.448,3.368
1.735,36.085,572.085,35.785,39.397,13.235,10.605,1.345e-4,10.605,89.999,16.48,17.333,17.407,78.477,2.013,2.322e-5,-51.466,-0.008,134.989,19.123,14.368,4.448,3.368
1.739,36.215,572.215,35.832,39.467,13.065,10.665,1.355e-4,10.665,89.999,16.544,17.558,17.407,78.477,2.144,2.325e-5,-47.33,-0.011,134.969,19.112,14.366,4.448,3.369
1.742,36.337,572.337,35.876,39.532,12.92,10.721,1.365e-4,10.721,89.999,16.604,17.746,17.407,78.477,2.252,2.328e-5,-43.229,-0.015,134.951,19.102,14.365,4.448,3.369
1.745,36.452,572.452,35.918,39.594,12.796,10.775,1.376e-4,10.775,89.999,16.661,17.905,17.407,78.477,2.34,2.32e-5,-39.147,-0.011,134.933,19.094,14.364,4.448,3.369
1.749,36.564,572.564,35.958,39.653,12.689,10.827,1.386e-4,10.827,89.999,16.717,18.037,17.407,78.477,2.411,2.326e-5,-35.076,-0.01,134.916,19.088,14.363,4.448,3.37
1.752,36.672,572.672,35.995,39.711,12.601,10.877,1.397e-4,10.877,89.999,16.771,18.143,17.407,78.477,2.465,2.35e-5,-31.023,-0.012,134.9,19.083,14.362,4.448,3.37
1.755,36.778,572.778,36.032,39.767,12.53,10.926,1.407e-4,10.926,89.999,16.825,18.224,17.407,78.477,2.503,2.336e-5,-26.984,-0.012,134.884,19.08,14.361,4.448,3.371
1.757,36.882,572.882,36.068,39.822,12.473,10.975,1.418e-4,10.975,89.999,16.877,18.286,17.407,78.477,2.528,2.321e-5,-22.959,-0.011,134.868,19.078,14.36,4.448,3.371
1.76,36.984,572.984,36.104,39.876,12.429,11.023,1.43e-4,11.023,89.999,16.929,18.329,17.407,78.477,2.542,2.319e-5,-18.939,-0.014,134.853,19.077,14.359,4.448,3.372
1.763,37.086,573.086,36.139,39.929,12.399,11.07,1.442e-4,11.07,89.999,16.981,18.354,17.407,78.477,2.544,2.303e-5,-14.93,-0.015,134.838,19.077,14.358,4.448,3.372
1.766,37.187,573.187,36.173,39.983,12.382,11.118,1.454e-4,11.118,89.999,17.032,18.361,17.407,78.477,2.535,2.293e-5,-10.929,-0.015,134.822,19.078,14.357,4.448,3.372
1.769,37.289,573.289,36.208,40.036,12.378,11.166,1.467e-4,11.166,89.999,17.084,18.351,17.407,78.477,2.515,2.29e-5,-6.936,-0.019,134.807,19.079,14.356,4.448,3.373
1.772,37.391,573.391,36.243,40.09,12.386,11.215,1.48e-4,11.215,89.999,17.136,18.323,17.407,78.477,2.483,2.298e-5,-2.953,-0.018,134.792,19.082,14.355,4.448,3.373
1.774,37.495,573.495,36.279,40.144,12.408,11.263,1.494e-4,11.263,89.999,17.188,18.277,17.407,78.477,2.441,2.294e-5,1.02,-0.017,134.776,19.086,14.354,4.448,3.373
1.777,37.6,573.6,36.314,40.199,12.443,11.313,1.508e-4,11.313,89.999,17.241,18.212,17.407,78.477,2.386,2.3e-5,4.978,-0.015,134.76,19.091,14.353,4.448,3.374
1.78,37.707,573.707,36.351,40.255,12.491,11.364,1.523e-4,11.364,89.999,17.294,18.128,17.407,78.477,2.32,2.301e-5,8.931,-0.013,134.744,19.097,14.352,4.448,3.374
1.783,37.817,573.817,36.389,40.313,12.555,11.416,1.539e-4,11.416,89.999,17.349,18.022,17.407,78.477,2.24,2.296e-5,12.867,-0.016,134.728,19.104,14.351,4.448,3.375
1.786,37.93,573.93,36.428,40.373,12.633,11.471,1.556e-4,11.471,89.999,17.405,17.895,17.407,78.477,2.146,2.295e-5,16.789,-0.019,134.711,19.112,14.35,4.448,3.375
1.79,38.049,574.049,36.469,40.435,12.729,11.527,1.575e-4,11.527,89.999,17.463,17.742,17.407,78.477,2.036,2.29e-5,20.699,-0.02,134.693,19.122,14.349,4.448,3.376
1.793,38.173,574.173,36.513,40.5,12.843,11.587,1.595e-4,11.587,89.999,17.523,17.561,17.407,78.477,1.909,2.284e-5,24.584,-0.024,134.674,19.134,14.348,4.448,3.376
1.797,38.306,574.306,36.56,40.57,12.978,11.651,1.616e-4,11.651,89.999,17.586,17.346,17.407,78.477,1.761,2.282e-5,28.441,-0.032,134.655,19.147,14.346,4.448,3.376
1.801,38.449,574.449,36.611,40.645,13.14,11.72,1.64e-4,11.72,89.999,17.654,17.089,17.407,78.477,1.586,2.304e-5,32.256,-0.038,134.633,19.163,14.345,4.448,3.377
1.805,38.608,574.608,36.669,40.729,13.342,11.797,1.667e-4,11.797,89.999,17.727,16.766,17.407,78.477,1.366,2.326e-5,35.987,-0.039,134.61,19.183,14.343,4.448,3.378
1.81,38.793,574.793,36.736,40.826,13.589,11.886,1.699e-4,11.886,89.999,17.811,16.364,17.407,78.477,1.098,2.382e-5,39.599,-0.045,134.582,19.209,14.342,4.448,3.378
1.816,39.021,575.021,36.822,40.947,13.909,11.997,1.74e-4,11.997,89.999,17.911,15.832,17.407,78.477,0.748,2.319e-5,42.97,-0.057,134.548,19.242,14.339,4.448,3.379
1.821,39.2,575.2,36.89,41.041,14.164,12.084,1.772e-4,12.084,89.999,17.987,15.399,17.407,78.477,0.466,2.308e-5,44.687,-0.078,134.522,19.269,14.338,4.448,3.38
1.828,39.47,575.47,36.975,41.161,9.139,12.215,1.821e-4,12.215,89.999,18.084,11.477,17.407,78.477,0.04,2.286e-5,45.74,-0.782,134.489,19.31,14.336,3.599,2.735
1.834,39.681,575.681,37.016,41.222,5.167,12.319,1.859e-4,12.319,89.999,18.141,8.444,17.407,78.477,0.29,2.287e-5,-45.269,-0.091,134.463,19.286,14.334,2.933,2.23
1.843,39.998,575.998,37.033,41.26,-1.242,12.475,1.916e-4,12.475,89.999,18.194,3.747,17.407,78.477,0.765,2.288e-5,-42.445,-0.032,134.441,19.24,14.332,1.873,1.424
1.847,40.162,576.162,37.02,41.254,-4.585,12.555,1.945e-4,12.555,89.999,18.205,1.372,17.407,78.477,0.994,2.257e-5,-40.047,-0.023,134.429,19.219,14.332,1.325,1.007
1.854,40.405,576.405,36.976,41.215,-8.664,12.675,1.987e-4,12.675,89.999,18.204,1.539,17.407,78.477,1.304,2.145e-5,-35.419,-0.017,134.424,19.19,14.331,0.656,0.499
# Event BURNOUT occurred at t=1.86 seconds
1.86,40.643,576.643,36.908,41.145,-12.709,12.792,2.028e-4,12.792,89.999,18.185,4.304,17.407,78.477,1.567,2.054e-5,-29.787,-0.012,134.419,19.166,14.331,0,0
1.864,40.798,576.798,36.854,41.089,-12.606,12.868,2.054e-4,12.868,89.999,18.167,4.487,17.407,78.477,1.717,2.062e-5,-25.595,-0.008,134.419,19.152,14.331,0,0
1.868,40.939,576.939,36.806,41.038,-12.524,12.938,2.077e-4,12.938,89.999,18.149,4.633,17.407,78.477,1.837,2.1e-5,-21.463,-0.007,134.419,19.141,14.331,0,0
1.872,41.072,577.072,36.761,40.99,-12.456,13.003,2.099e-4,13.003,89.999,18.133,4.75,17.407,78.477,1.934,2.106e-5,-17.365,-0.012,134.419,19.132,14.331,0,0
1.875,41.198,577.198,36.718,40.944,-12.402,13.066,2.119e-4,13.066,89.999,18.116,4.844,17.407,78.477,2.012,2.108e-5,-13.287,-0.013,134.419,19.125,14.331,0,0
1.878,41.319,577.319,36.678,40.9,-12.358,13.126,2.139e-4,13.126,89.999,18.1,4.916,17.407,78.477,2.073,2.103e-5,-9.227,-0.012,134.419,19.12,14.331,0,0
1.882,41.438,577.438,36.638,40.858,-12.323,13.184,2.157e-4,13.184,89.999,18.084,4.969,17.407,78.477,2.12,2.107e-5,-5.184,-0.009,134.419,19.115,14.331,0,0
1.885,41.553,577.553,36.599,40.816,-12.298,13.241,2.175e-4,13.241,89.999,18.068,5.004,17.407,78.477,2.152,2.113e-5,-1.156,-0.013,134.419,19.113,14.331,0,0
1.888,41.667,577.667,36.561,40.775,-12.28,13.297,2.193e-4,13.297,89.999,18.053,5.021,17.407,78.477,2.171,2.108e-5,2.859,-0.009,134.419,19.111,14.331,0,0
1.891,41.78,577.78,36.523,40.734,-12.27,13.353,2.21e-4,13.353,89.999,18.037,5.023,17.407,78.477,2.178,2.117e-5,6.867,-0.006,134.419,19.11,14.331,0,0
1.894,41.892,577.892,36.485,40.693,-12.268,13.408,2.227e-4,13.408,89.999,18.022,5.009,17.407,78.477,2.173,2.105e-5,10.862,-0.004,134.419,19.111,14.331,0,0
1.897,42.005,578.005,36.447,40.652,-12.273,13.464,2.244e-4,13.464,89.999,18.006,4.979,17.407,78.477,2.155,2.096e-5,14.84,-0.005,134.419,19.112,14.331,0,0
1.9,42.119,578.119,36.409,40.611,-12.285,13.52,2.261e-4,13.52,89.999,17.991,4.935,17.407,78.477,2.126,2.087e-5,18.811,-0.009,134.419,19.115,14.331,0,0
1.903,42.235,578.235,36.369,40.569,-12.294,13.578,2.278e-4,13.578,89.999,17.975,4.897,17.407,78.477,2.1,2.094e-5,22.791,-0.009,134.419,19.117,14.331,0,0
1.907,42.352,578.352,36.33,40.527,-12.311,13.635,2.294e-4,13.635,89.999,17.959,4.843,17.407,78.477,2.061,2.091e-5,26.749,-0.012,134.419,19.12,14.331,0,0
1.91,42.471,578.471,36.289,40.483,-12.336,13.694,2.311e-4,13.694,89.999,17.944,4.772,17.407,78.477,2.009,2.101e-5,30.691,-0.016,134.419,19.125,14.331,0,0
1.913,42.594,578.594,36.248,40.439,-12.37,13.755,2.329e-4,13.755,89.999,17.928,4.684,17.407,78.477,1.942,2.109e-5,34.617,-0.018,134.419,19.131,14.331,0,0
1.917,42.721,578.721,36.204,40.393,-12.413,13.818,2.347e-4,13.818,89.999,17.911,4.576,17.407,78.477,1.86,2.126e-5,38.525,-0.019,134.419,19.138,14.331,0,0
1.921,42.854,578.854,36.159,40.344,-12.467,13.884,2.365e-4,13.884,89.999,17.895,4.447,17.407,78.477,1.76,2.13e-5,42.417,-0.023,134.419,19.147,14.331,0,0
1.924,42.994,578.994,36.11,40.293,-12.534,13.953,2.385e-4,13.953,89.999,17.878,4.295,17.407,78.477,1.64,2.128e-5,46.275,-0.02,134.419,19.158,14.331,0,0
1.929,43.145,579.145,36.057,40.238,-12.616,14.028,2.406e-4,14.028,89.999,17.86,4.115,17.407,78.477,1.496,2.117e-5,50.094,-0.03,134.419,19.171,14.331,0,0
1.933,43.311,579.311,35.999,40.178,-12.717,14.11,2.429e-4,14.11,89.999,17.842,3.9,17.407,78.477,1.321,2.132e-5,53.847,-0.044,134.419,19.187,14.331,0,0
1.938,43.5,579.5,35.932,40.109,-12.844,14.204,2.455e-4,14.204,89.999,17.822,3.639,17.407,78.477,1.104,2.144e-5,57.506,-0.054,134.419,19.208,14.331,0,0
1.945,43.728,579.728,35.85,40.026,-13.014,14.317,2.487e-4,14.317,89.999,17.8,3.309,17.407,78.477,0.823,2.138e-5,60.99,-0.085,134.419,19.234,14.331,0,0
1.953,44.035,580.035,35.737,39.913,-13.275,14.47,2.531e-4,14.47,89.999,17.773,2.827,17.407,78.477,0.4,2.134e-5,63.95,-0.182,134.419,19.274,14.331,0,0
1.966,44.494,580.494,35.563,39.743,-13.715,14.698,2.6e-4,14.698,89.999,17.742,2.077,17.407,78.477,0.289,2.045e-5,-64.153,-0.269,134.419,19.285,14.331,0,0
1.986,45.179,581.179,35.292,39.487,-14.36,15.041,2.711e-4,15.041,89.999,17.712,1.093,17.407,78.477,1.219,2.987e-5,-55.36,-0.074,134.419,19.196,14.331,0,0
1.991,45.378,581.378,35.21,39.411,-14.523,15.141,2.745e-4,15.141,89.999,17.706,0.86,17.407,78.477,1.443,3.022e-5,-51.01,-0.063,134.419,19.176,14.331,0,0
1.996,45.548,581.548,35.14,39.347,-14.648,15.226,2.776e-4,15.226,89.999,17.702,0.686,17.407,78.477,1.612,2.99e-5,-46.773,-0.056,134.419,19.16,14.331,0,0
2,45.701,581.701,35.076,39.289,-14.748,15.303,2.803e-4,15.303,89.999,17.7,0.546,17.407,78.477,1.749,2.995e-5,-42.602,-0.048,134.419,19.148,14.331,0,0
2.004,45.841,581.841,35.017,39.235,-14.856,15.374,2.829e-4,15.374,89.999,17.698,0.392,17.407,78.477,1.897,3.017e-5,-38.451,-0.044,134.419,19.134,14.331,0,0
2.008,45.971,581.971,34.961,39.185,-14.944,15.44,2.854e-4,15.44,89.999,17.697,0.266,17.407,78.477,2.018,3.015e-5,-34.324,-0.039,134.419,19.123,14.331,0,0
2.012,46.094,582.094,34.908,39.137,-15.014,15.502,2.878e-4,15.502,89.999,17.696,0.164,17.407,78.477,2.117,3.017e-5,-30.229,-0.031,134.419,19.114,14.331,0,0
2.015,46.211,582.211,34.858,39.092,-15.07,15.562,2.901e-4,15.562,89.999,17.695,0.082,17.407,78.477,2.197,2.995e-5,-26.153,-0.031,134.419,19.107,14.331,0,0
2.018,46.325,582.325,34.809,39.048,-15.112,15.619,2.923e-4,15.619,89.999,17.695,0.017,17.407,78.477,2.262,2.995e-5,-22.092,-0.029,134.419,19.101,14.331,0,0
2.021,46.435,582.435,34.761,39.006,-15.142,15.675,2.946e-4,15.675,89.999,17.695,0.032,17.407,78.477,2.311,2.998e-5,-18.061,-0.029,134.419,19.097,14.331,0,0
2.025,46.542,582.542,34.714,38.964,-15.16,15.73,2.968e-4,15.73,89.999,17.696,0.067,17.407,78.477,2.346,2.997e-5,-14.04,-0.026,134.419,19.094,14.331,0,0
2.028,46.649,582.649,34.667,38.923,-15.167,15.785,2.99e-4,15.785,89.999,17.696,0.088,17.407,78.477,2.369,3.009e-5,-10.02,-0.027,134.419,19.092,14.331,0,0
2.031,46.755,582.755,34.621,38.881,-15.163,15.839,3.012e-4,15.839,89.999,17.696,0.097,17.407,78.477,2.379,3.004e-5,-6.007,-0.03,134.419,19.091,14.331,0,0
2.034,46.86,582.86,34.575,38.841,-15.149,15.892,3.034e-4,15.892,89.999,17.696,0.093,17.407,78.477,2.377,3.017e-5,-2.01,-0.032,134.419,19.091,14.331,0,0
2.037,46.965,582.965,34.529,38.8,-15.125,15.946,3.056e-4,15.946,89.999,17.697,0.077,17.407,78.477,2.363,3.14e-5,1.981,-0.029,134.419,19.092,14.331,0,0
2.04,47.071,583.071,34.482,38.758,-15.09,16.001,3.079e-4,16.001,89.999,17.697,0.049,17.407,78.477,2.337,3.118e-5,5.956,-0.029,134.419,19.094,14.331,0,0
2.043,47.179,583.179,34.435,38.716,-15.044,16.056,3.103e-4,16.056,89.999,17.697,0.008,17.407,78.477,2.298,3.115e-5,9.917,-0.028,134.419,19.098,14.331,0,0
2.046,47.288,583.288,34.388,38.674,-14.987,16.112,3.127e-4,16.112,89.999,17.697,0.046,17.407,78.477,2.246,3.109e-5,13.858,-0.026,134.419,19.102,14.331,0,0
2.049,47.4,583.4,34.339,38.631,-14.919,16.17,3.151e-4,16.17,89.999,17.697,0.114,17.407,78.477,2.18,3.091e-5,17.794,-0.024,134.419,19.108,14.331,0,0
2.053,47.516,583.516,34.289,38.586,-14.821,16.23,3.177e-4,16.23,89.999,17.696,0.223,17.407,78.477,2.075,3.064e-5,21.698,-0.024,134.419,19.118,14.331,0,0
2.056,47.638,583.638,34.236,38.539,-14.705,16.293,3.204e-4,16.293,89.999,17.695,0.356,17.407,78.477,1.945,3.063e-5,25.572,-0.019,134.419,19.129,14.331,0,0
2.06,47.768,583.768,34.181,38.489,-14.571,16.36,3.234e-4,16.36,89.999,17.693,0.511,17.407,78.477,1.793,3.08e-5,29.406,-0.021,134.419,19.143,14.331,0,0
2.064,47.909,583.909,34.121,38.434,-14.417,16.433,3.266e-4,16.433,89.999,17.691,0.693,17.407,78.477,1.613,3.053e-5,33.199,-0.023,134.419,19.159,14.331,0,0
2.069,48.066,584.066,34.055,38.374,-14.236,16.514,3.302e-4,16.514,89.999,17.687,0.91,17.407,78.477,1.396,3.055e-5,36.92,-0.02,134.419,19.179,14.331,0,0
2.074,48.249,584.249,33.979,38.304,-14.018,16.609,3.344e-4,16.609,89.999,17.682,1.179,17.407,78.477,1.126,3.099e-5,40.535,-0.022,134.419,19.204,14.331,0,0
2.081,48.475,584.475,33.886,38.218,-13.741,16.727,3.397e-4,16.727,89.999,17.673,1.529,17.407,78.477,0.77,3.105e-5,43.883,-0.033,134.419,19.237,14.331,0,0
2.091,48.812,584.812,33.751,38.09,-13.336,16.903,3.476e-4,16.903,89.999,17.655,2.067,17.407,78.477,0.216,3.223e-5,46.438,-0.112,134.419,19.29,14.331,0,0
2.106,49.314,585.314,33.557,37.9,-12.791,17.166,3.594e-4,17.166,89.999,17.618,2.835,17.407,78.477,0.582,3.297e-5,-44.779,-0.046,134.419,19.255,14.331,0,0
2.119,49.741,585.741,33.396,37.74,-12.408,17.391,3.695e-4,17.391,89.999,17.578,3.404,17.407,78.477,1.162,2.732e-5,-38.825,-0.024,134.419,19.2,14.331,0,0
2.125,49.959,585.959,33.315,37.658,-12.242,17.506,3.747e-4,17.506,89.999,17.555,3.658,17.407,78.477,1.419,2.712e-5,-34.392,-0.024,134.419,19.176,14.331,0,0
2.13,50.138,586.138,33.25,37.59,-12.123,17.6,3.79e-4,17.6,89.999,17.535,3.843,17.407,78.477,1.606,2.728e-5,-30.13,-0.017,134.419,19.159,14.331,0,0
2.135,50.298,586.298,33.192,37.53,-12.03,17.684,3.828e-4,17.684,89.999,17.516,3.985,17.407,78.477,1.75,2.707e-5,-25.951,-0.013,134.419,19.146,14.331,0,0
2.14,50.444,586.444,33.139,37.475,-11.958,17.761,3.862e-4,17.761,89.999,17.498,4.095,17.407,78.477,1.863,2.729e-5,-21.836,-0.014,134.419,19.136,14.331,0,0
2.144,50.581,586.581,33.089,37.423,-11.9,17.834,3.895e-4,17.834,89.999,17.481,4.18,17.407,78.477,1.953,2.725e-5,-17.749,-0.013,134.419,19.127,14.331,0,0
2.148,50.713,586.713,33.042,37.374,-11.855,17.904,3.927e-4,17.904,89.999,17.464,4.243,17.407,78.477,2.021,2.727e-5,-13.687,-0.015,134.419,19.121,14.331,0,0
2.152,50.84,586.84,32.997,37.326,-11.827,17.971,3.957e-4,17.971,89.999,17.448,4.274,17.407,78.477,2.061,2.721e-5,-9.65,-0.02,134.419,19.118,14.331,0,0
2.155,50.966,586.966,32.952,37.278,-11.818,18.037,3.987e-4,18.037,89.999,17.431,4.269,17.407,78.477,2.07,2.731e-5,-5.638,-0.017,134.419,19.117,14.331,0,0
2.159,51.091,587.091,32.907,37.231,-11.816,18.103,4.017e-4,18.103,89.999,17.415,4.248,17.407,78.477,2.064,2.738e-5,-1.651,-0.018,134.419,19.117,14.331,0,0
2.163,51.216,587.216,32.862,37.184,-11.823,18.17,4.047e-4,18.17,89.999,17.399,4.211,17.407,78.477,2.043,2.753e-5,2.329,-0.02,134.419,19.119,14.331,0,0
2.167,51.343,587.343,32.816,37.136,-11.839,18.237,4.078e-4,18.237,89.999,17.383,4.158,17.407,78.477,2.006,2.784e-5,6.283,-0.02,134.419,19.122,14.331,0,0
2.171,51.473,587.473,32.769,37.087,-11.864,18.306,4.109e-4,18.306,89.999,17.367,4.088,17.407,78.477,1.953,2.776e-5,10.222,-0.022,134.419,19.127,14.331,0,0
2.175,51.607,587.607,32.72,37.036,-11.897,18.377,4.142e-4,18.377,89.999,17.35,3.999,17.407,78.477,1.883,2.788e-5,14.152,-0.019,134.419,19.133,14.331,0,0
2.179,51.746,587.746,32.67,36.983,-11.941,18.45,4.176e-4,18.45,89.999,17.333,3.891,17.407,78.477,1.793,2.812e-5,18.059,-0.018,134.419,19.141,14.331,0,0
2.184,51.892,587.892,32.616,36.928,-11.997,18.528,4.212e-4,18.528,89.999,17.316,3.762,17.407,78.477,1.683,2.821e-5,21.926,-0.023,134.419,19.151,14.331,0,0
2.188,52.048,588.048,32.559,36.869,-12.065,18.611,4.25e-4,18.611,89.999,17.299,3.607,17.407,78.477,1.547,2.814e-5,25.763,-0.022,134.419,19.164,14.331,0,0
2.194,52.219,588.219,32.495,36.804,-12.151,18.702,4.293e-4,18.702,89.999,17.28,3.423,17.407,78.477,1.379,2.842e-5,29.534,-0.024,134.419,19.179,14.331,0,0
2.2,52.411,588.411,32.423,36.731,-12.258,18.804,4.341e-4,18.804,89.999,17.261,3.199,17.407,78.477,1.17,2.819e-5,33.227,-0.029,134.419,19.198,14.331,0,0
2.207,52.638,588.638,32.336,36.645,-12.369,18.925,4.399e-4,18.925,89.999,17.239,2.975,17.407,78.477,0.952,2.843e-5,36.843,-0.036,134.419,19.219,14.331,0,0
2.215,52.92,588.92,32.228,36.537,-12.52,19.075,4.471e-4,19.075,89.999,17.214,2.682,17.407,78.477,0.657,2.947e-5,40.228,-0.056,134.419,19.246,14.331,0,0
2.228,53.333,589.333,32.065,36.379,-12.763,19.296,4.58e-4,19.296,89.999,17.182,2.242,17.407,78.477,0.192,3.112e-5,42.778,-0.191,134.419,19.291,14.331,0,0
2.248,53.949,589.949,31.815,36.141,-13.133,19.627,4.748e-4,19.627,89.999,17.145,1.619,17.407,78.477,0.503,3.209e-5,-41.203,-0.072,134.419,19.261,14.331,0,0
2.264,54.47,590.47,31.597,35.938,-13.406,19.909,4.895e-4,19.909,89.999,17.122,1.191,17.407,78.477,0.994,3.648e-5,-35.252,-0.026,134.419,19.214,14.331,0,0
2.272,54.737,590.737,31.483,35.834,-13.517,20.054,4.972e-4,20.054,89.999,17.113,1.019,17.407,78.477,1.195,3.676e-5,-30.867,-0.014,134.419,19.195,14.331,0,0
2.28,54.962,590.962,31.387,35.746,-13.59,20.176,5.038e-4,20.176,89.999,17.106,0.904,17.407,78.477,1.331,3.566e-5,-26.64,-0.014,134.419,19.182,14.331,0,0
2.286,55.163,591.163,31.299,35.666,-13.637,20.286,5.097e-4,20.286,89.999,17.101,0.825,17.407,78.477,1.425,3.504e-5,-22.507,-0.011,134.419,19.174,14.331,0,0
2.292,55.352,591.352,31.217,35.591,-13.664,20.389,5.154e-4,20.389,89.999,17.096,0.774,17.407,78.477,1.488,3.474e-5,-18.412,-0.014,134.419,19.168,14.331,0,0
2.298,55.534,591.534,31.137,35.519,-13.674,20.489,5.209e-4,20.489,89.999,17.091,0.745,17.407,78.477,1.525,3.42e-5,-14.358,-0.011,134.419,19.164,14.331,0,0
2.304,55.711,591.711,31.059,35.449,-13.656,20.587,5.263e-4,20.587,89.999,17.087,0.754,17.407,78.477,1.517,3.424e-5,-10.354,-0.005,134.419,19.165,14.331,0,0
2.309,55.89,591.89,30.98,35.378,-13.616,20.685,5.317e-4,20.685,89.999,17.083,0.792,17.407,78.477,1.476,3.437e-5,-6.408,-0.003,134.419,19.169,14.331,0,0
